title,impact,component,start_date,end_date,duration_minutes,year,month_num,date_text_raw,body,link
Disruption with some GitHub services,minor,Codespaces,2025-11-12 22:26,2025-11-12 23:04,38,2025,11,"Nov 12, 22:26 - 23:04 UTC","On November 12, 2025, between 22:10 UTC and 23:04 UTC, Codespaces used internally at GitHub were impacted. There was no impact to external customers. The scope of impact was not clear in the initial steps of incident response, so it was considered public until confirmed otherwise. One improvement from this will be improved clarity of internal versus public impact for similar failures to better inform our status decisions going forward.",https://www.githubstatus.com/incidents/br7kz68t38cl
Delay in notification deliveries,minor,Issues,2025-11-12 14:23,2025-11-12 17:39,196,2025,11,"Nov 12, 14:23 - 17:39 UTC","On November 12th, 2025, from 13:10 - 17:40 UTC, notifications service was degraded, showing an increase in web notifications latency and increasing delays in notification deliveries. A change to the notifications settings access path introduced additional load to the settings system, degrading its response times. This impacted both requests to web notifications (with p99 response times as high as 1.5s, while lower percentiles remained stable) and notification deliveries, which reached a peak delay of 24 minutes on average. System capacity was increased around 15:10 UTC and the problematic change was fully reverted soon after that, restoring the latency of web notifications and increasing notification delivery throughput, decreasing the delay in notification deliveries. The notification queue was fully emptied around 17:40 UTC.We are working to adjust capacity in the affected systems and to improve the time needed to address these capacity issues.",https://www.githubstatus.com/incidents/l0brgg302bf5
Larger hosted runners experiencing delays,minor,Actions,2025-11-11 18:02,2025-11-11 20:54,172,2025,11,"Nov 11, 18:02 - 20:54 UTC","On November 11, 2025, between 16:28 UTC and 20:54 UTC, GitHub Actions larger hosted runners experienced degraded performance, with 0.4% of overall workflow runs and 8.8% of larger hosted runner jobs failing to start within 5 minutes. The majority of impact was mitigated by 18:44, with a small tail of organizations taking longer to recover.The impact was caused by the same database infrastructure issue that caused similar larger hosted runner performance degradation on October 23rd, 2025.  In this case, it was triggered by a brief infrastructure event in this incident rather than a database change.Through this incident, we identified and implemented a better solution for both prevention and faster mitigation. In addition to this, a durable solution for the underlying database issue is rolling out soon.",https://www.githubstatus.com/incidents/htcm010tcwjq
Incident with Copilot,minor,Copilot,2025-11-05 23:41,2025-11-06 00:06,25,2025,11,"Nov 5, 23:41 - Nov 6, 00:06 UTC","Between November 5, 2025 23:27 UTC and November 6, 2025 00:06 UTC, ghost text requests experienced errors from upstream model providers. This was a continuation of the service disruption for which we statused Copilot earlier that day, although more limited in scope.During the service disruption, users were again automatically re-routed to healthy model hosts, minimizing impact to users and we are updating our monitors and failover mechanism to mitigate similar issues in the future.",https://www.githubstatus.com/incidents/gnzclztblsh3
Copilot Code Completions partially unavailable,minor,Copilot,2025-11-05 22:56,2025-11-05 23:26,30,2025,11,"Nov 5, 22:56 - 23:26 UTC","On November 5, 2025, between 21:46 and 23:36 UTC, ghost text requests experienced errors from upstream model providers that resulted in 0.9% of users seeing elevated error rates.During the service disruption, users were automatically re-routed to healthy model hosts but may have experienced increased latency in response times as a result of re-routing.We are updating our monitors and tuning our failover mechanism to more quickly mitigate issues like this in the future.",https://www.githubstatus.com/incidents/d5c8rxcwt7xw
Incident With GitHub Enterprise Importer,none,General,2025-11-04 22:00,2025-11-04 22:00,0,2025,11,"Nov 4, 22:00 - 22:00 UTC","On November 4, 2025, GitHub Enterprise Importer experienced a period of degraded migration performance and elevated error rates between 18:04 UTC and 23:36 UTC. During this interval customers queueing and running migrations experienced prolonged queue times and slower processing.

The degradation was ultimately connected to higher than normal system load, once load was reduced error rates returned to normal. The investigation is ongoing to pinpoint the precise root cause and prevent future recurrence.

Long-term work is planned to strengthen system resilience under high load and promote better visibility into migration status for customers.",https://www.githubstatus.com/incidents/0xpyl7hs9hm6
Incident with Packages,minor,Packages,2025-11-03 14:33,2025-11-03 19:20,287,2025,11,"Nov 3, 14:33 - 19:20 UTC","On November 3, 2025, between 14:10 UTC and 19:20 UTC, GitHub Packages experienced degraded performance, resulting in failures for 0.5% of Nuget package download requests. The incident resulted from an unexpected change in usage patterns affecting rate limiting infrastructure in the Packages service.We mitigated the issue by scaling up services and refining our rate limiting implementation to ensure more consistent and reliable service for all users. To prevent similar problems, we are enhancing our resilience to shifts in usage patterns, improving capacity planning, and implementing better monitoring to accelerate detection and mitigation in the future.",https://www.githubstatus.com/incidents/y8hlsmxtgf0w
Incident with using workflow_dispatch for Actions,minor,Actions,2025-11-01 04:43,2025-11-01 06:14,91,2025,11,"Nov 1, 04:43 - 06:14 UTC","On November 1, 2025, between 2:30 UTC and 6:14 UTC, Actions workflows could not be triggered manually from the UI. This impacted all customers queueing workflows from the UI for most of the impact window. The issue was caused by a faulty code change in the UI, which was promptly reverted once the impact was identified. Detection was delayed due to an alerting gap for UI breaks in this area when all underlying APIs are still healthy. We are implementing enhanced alerting and additional automated tests to prevent similar regressions and reduce detection time in the future.",https://www.githubstatus.com/incidents/xkvk1yhmqfdl
Disruption with some GitHub services,minor,General,2025-10-30 22:47,2025-10-30 23:00,13,2025,10,"Oct 30, 22:47 - 23:00 UTC","On October 30th we shipped a change that broke 3 links in the ""Solutions"" dropdown of the marketing navigation seen on https://github.com/home. We noticed internally the broken links and declared an incident so our users would know no other functionality was impacted. We were able to revert a change and are evaluating our testing and rollout processes to prevent future incidents like these.",https://www.githubstatus.com/incidents/6hygvwpw2vr3
"Experiencing connection issues across Actions, Codespaces, and possibly other services",major,Actions,2025-10-29 16:17,2025-10-29 23:15,418,2025,10,"Oct 29, 16:17 - 23:15 UTC","On October 29th, 2025 between 14:07 UTC and 23:15 UTC, multiple GitHub services were degraded due to a broad outage in one of our service providers:- Users of Codespaces experienced failures connecting to new and existing Codespaces through VSCode Desktop or Web. On average the Codespace connection error rate was 90% and peaked at 100% across all regions throughout the incident period.- GitHub Actions larger hosted runners experienced degraded performance, with 0.5% of overall workflow runs and 9.8% of larger hosted runner jobs failing or not starting within 5 minutes.  These recovered by 20:40 UTC.- The GitHub Enterprise Importer service was degraded, with some users experiencing migration failures during git push operations and most users experiencing delayed migration processing.- Initiation of new trials for GitHub Enterprise Cloud with Data Residency were also delayed during this time.- Copilot Metrics via the API could not access the downloadable link during this time. There were approximately 100 requests during the incident that would have failed the download. Recovery began around 20:25 UTC.We were able to apply a number of mitigations to reduce impact over the course of the incident, but we did not achieve 100% recovery until our service provider’s incident was resolved.We are working to reduce critical path dependencies on the service provider and gracefully degrade experiences where possible so that we are more resilient to future dependency outages.",https://www.githubstatus.com/incidents/4jxdz4m769gy
Disruption with Copilot Bing search tool,minor,Copilot,2025-10-29 21:34,2025-10-29 21:49,15,2025,10,"Oct 29, 21:34 - 21:49 UTC","A cloud resource used by the Copilot bing-search tool was deleted as part of a resource cleanup operation. Once this was discovered, the resource was recreated. Going forward, more effective monitoring will be put in place to catch this issue earlier.",https://www.githubstatus.com/incidents/pch0flk719dj
Inconsistent results when using the Haiku 4.5 model,minor,Copilot,2025-10-28 16:39,2025-10-28 17:11,32,2025,10,"Oct 28, 16:39 - 17:11 UTC","From October 28th at 16:03 UTC until 17:11 UTC, the Copilot service experienced degradation due to an infrastructure issue which impacted the Claude Haiku 4.5 model, leading to a spike in errors affecting 1% of users. No other models were impacted. The incident was caused due to an outage with an upstream provider. We are working to improve redundancy during future occurrences.",https://www.githubstatus.com/incidents/jlhnszknd9pj
Disruption with viewing some repository pages from large organizations,minor,Git Operations,2025-10-27 16:25,2025-10-27 17:51,86,2025,10,"Oct 27, 16:25 - 17:51 UTC","Between October 23, 2025 19:27:29 UTC and October 27, 2025 17:42:42 UTC, users experienced timeouts when viewing repository landing pages. We observed the timeouts for approximately 5,000 users across less than 1,000 repositories including forked repositories. The impact was limited to logged in users accessing repositories in organizations with more than 200,000 members. Forks of repositories from affected large organizations were also impacted. Git operations were functional throughout this period.This was caused by feature flagged changes impacting organization membership. The changes caused unintended timeouts for organization membership count evaluations which led to repository landing pages not loading.The flag was turned off and a fix addressing the timeouts was deployed, including additional optimizations to better support organizations of this size. We are reviewing related areas and will continue to monitor for similar performance regressions.",https://www.githubstatus.com/incidents/t6fcxny6yf14
githubstatus.com was unavailable UTC 2025 Oct 24 02:55 to 03:13,none,General,2025-10-24 14:17,2025-10-24 14:17,0,2025,10,"Oct 24, 14:17 - 14:17 UTC","On UTC Oct 24 2:55 - 3:15 AM, githubstatus.com was unreachable due to service interruption with our status page provider. 
During this time, GitHub systems were not experiencing any outages or disruptions.
We are working our vendor to understand how to improve availability of githubstatus.com.",https://www.githubstatus.com/incidents/jkll48jj78zv
git operations over ssh seeing increased latency on github.com,minor,Git Operations,2025-10-24 09:31,2025-10-24 10:10,39,2025,10,"Oct 24, 09:31 - 10:10 UTC","From Oct 22, 2025 15:00 UTC to Oct 24, 2025 14:30 UTC  git operations via SSH saw periods of increased latency and failed requests, with failure rates ranging from 1.5% to a single spike of 15%. Git operations over http were not affected. This was due to resource exhaustion on our backend ssh servers.  We mitigated the incident by increasing the available resources for ssh connections. We are improving the observability and dynamic scalability of our backend to prevent issues like this in the future.",https://www.githubstatus.com/incidents/n7hf73qtpz2l
Incident with Actions - Larger hosted runners,minor,Actions,2025-10-23 16:33,2025-10-23 20:25,232,2025,10,"Oct 23, 16:33 - 20:25 UTC","On October 23, 2025, between 15:54 UTC and 19:20 UTC, GitHub Actions larger hosted runners experienced degraded performance, with 1.4% of overall workflow runs and 29% of larger hosted runner jobs failing to start or timing out within 5 minutes.The full set of contributing factors is still under investigation, but the customer impact was due to database performance degradation, triggered by routine database changes causing a load profile that triggered a bug in the underlying database platform used for larger runners.Impact was mitigated through a combination of scaling up the database and reducing load. We are working with partners to resolve the underlying bug and have paused similar database changes until it is resolved.",https://www.githubstatus.com/incidents/8vql81b3xcgq
Incident with API Requests,minor,API,2025-10-22 14:29,2025-10-22 15:53,84,2025,10,"Oct 22, 14:29 - 15:53 UTC","On October 22, 2025, between 14:06 UTC and 15:17 UTC, less than 0.5% of web users experienced intermittent slow page loads on GitHub.com. During this time, API requests showed increased latency, with up to 2% timing out.  The issue was caused by elevated loads on one of our databases caused by a poorly performing query, which impacted performance for a subset of requests.We identified the source of the load and optimized the query to restore normal performance. We’ve added monitors for early detection for query performance, and we continue to monitor the system closely to ensure ongoing stability.",https://www.githubstatus.com/incidents/dlvf3sfmz7dm
Disruption with some GitHub services,minor,Actions,2025-10-21 16:00,2025-10-21 17:39,99,2025,10,"Oct 21, 16:00 - 17:39 UTC","On October 21, 2025, between 13:30 and 17:30 UTC, GitHub Enterprise Cloud Organization SAML Single Sign-On experienced degraded performance. Customers may have been unable to successfully authenticate into their GitHub Organizations during this period. Organization SAML recorded a maximum of 0.4% of SSO requests failing during this timeframe.This incident stemmed from a failure in a read replica database partition responsible for storing license usage information for GitHub Enterprise Cloud Organizations. This partition failure resulted in users from affected organizations, whose license usage information was stored on this partition, being unable to access SSO during the aforementioned window. A successful SSO requires an available license for the user who is accessing a GitHub Enterprise Cloud Organization backed by SSO.The failing partition was subsequently taken out of service, thereby mitigating the issue. Remedial actions are currently underway to ensure that a read replica failure does not compromise the overall service availability.",https://www.githubstatus.com/incidents/v61nk2fpysnq
Incident with Actions,minor,Actions,2025-10-21 09:12,2025-10-21 12:28,196,2025,10,"Oct 21, 09:12 - 12:28 UTC","On October 21, 2025, between 07:55 UTC and 12:20 UTC, GitHub Actions experienced degraded performance. During this time, 2.11% workflow runs failed to start within 5 minutes, with an average delay of 8.2 minutes. The root cause was increased latency on a node in one of our Redis clusters, triggered by resource contention after a patching event became stuck. Recovery began once the patching process was unstuck and normal connectivity to the Redis cluster was restored at 11:45 UTC, but it took until 12:20 UTC to clear the backlog of queued work. We are implementing safeguards to prevent this failure mode and enhancing our monitoring to detect and address problems like this more quickly in the future.",https://www.githubstatus.com/incidents/qqd6b1xb63tq
Disruption with Grok Code Fast 1 in Copilot,minor,Copilot,2025-10-20 14:46,2025-10-20 16:40,114,2025,10,"Oct 20, 14:46 - 16:40 UTC","From October 20th at 14:10 UTC until 16:40 UTC, the Copilot service experienced degradation due to an infrastructure issue which impacted the Grok Code Fast 1 model, leading to a spike in errors affecting 30% of users. No other models were impacted. The incident was caused due to an outage with an upstream provider.",https://www.githubstatus.com/incidents/9klytnsknx20
Codespaces creation failling,major,Codespaces,2025-10-20 08:56,2025-10-20 11:01,125,2025,10,"Oct 20, 08:56 - 11:01 UTC","On October 20, 2025, between 08:05 UTC and 10:50 UTC the Codespaces service was degraded, with users experiencing failures creating new codespaces and resuming existing ones. On average, the error rate for codespace creation was 39.5% and peaked at 71% of requests to the service during the incident window. Resume operations averaged 23.4% error rate with a peak of 46%. This was due to a cascading failure triggered by an outage in a 3rd-party dependency required to build devcontainer images.The impact was mitigated when the 3rd-party dependency recovered.We are investigating opportunities to make this dependency not a critical path for our container build process and working to improve our monitoring and alerting systems to reduce our time to detection of issues like this one in the future.",https://www.githubstatus.com/incidents/krd9y2m82fbn
Disruption with push notifications,major,Notifications,2025-10-17 13:11,2025-10-17 14:12,61,2025,10,"Oct 17, 13:11 - 14:12 UTC","On October 17th, 2025, between 12:51 UTC and 14:01 UTC, mobile push notifications failed to be delivered for a total duration of 70 minutes. This affected github.com and GitHub Enterprise Cloud in all regions. The disruption was related to an erroneous configuration change to cloud resources used for mobile push notification delivery.We are reviewing our procedures and management of these cloud resources to prevent such an incident in the future.",https://www.githubstatus.com/incidents/vs7qnzbydz2p
Disruption with some GitHub services,minor,Issues,2025-10-14 18:26,2025-10-14 18:57,31,2025,10,"Oct 14, 18:26 - 18:57 UTC","On October 14th, 2025, between 18:26 UTC and 18:57 UTC a subset of unauthenticated requests to the commit endpoint for certain repositories received 503 errors. During the event, the average error rate was 3%, peaking at 3.5% of total requests.This event was triggered by a recent configuration change and some traffic pattern shifts on the service. We were alerted of the issue immediately and made changes to the configuration in order to mitigate the problem. We are working on automatic mitigation solutions and better traffic handling in order to prevent issues like this in the future.",https://www.githubstatus.com/incidents/g8rmr5p85tzv
Disruption with GPT-5-mini in Copilot,minor,Copilot,2025-10-14 14:05,2025-10-14 16:00,115,2025,10,"Oct 14, 14:05 - 16:00 UTC","On Oct 14th, 2025, between 13:34 UTC and 16:00 UTC the Copilot service was degraded for GPT-5 mini model. On average, 18% of the requests to GPT-5 mini failed due to an issue with our upstream provider.We notified the upstream provider of the problem as soon as it was detected and mitigated the issue by failing over to other providers. The upstream provider has since resolved the issue.We are working to improve our failover logic to mitigate similar upstream failures more quickly in the future.",https://www.githubstatus.com/incidents/fpbpfb33dw5s
Incident with Webhooks,major,Actions,2025-10-09 14:45,2025-10-09 16:40,115,2025,10,"Oct 9, 14:45 - 16:40 UTC","On October 9th, 2025, between 14:35 UTC and 15:21 UTC, a network device in maintenance mode that was undergoing repairs was brought back into production before repairs were completed. Network traffic traversing this device experienced significant packet loss.Authenticated users of the github.com UI experienced increased latency during the first 5 minutes of the incident. API users experienced up to 7.3% error rates, after which it stabilized to about 0.05% until mitigated. Actions service experienced 24% of runs being delayed for an average of 13 minutes. Large File Storage (LFS) requests experienced minimally increased error rate, with 0.038% of requests erroring.To prevent similar issues, we are enhancing the validation process for device repairs of this category.",https://www.githubstatus.com/incidents/k7bhmjkblcwp
Multiple GitHub API endpoints are experiencing errors,minor,API,2025-10-09 13:52,2025-10-09 13:56,4,2025,10,"Oct 9, 13:52 - 13:56 UTC","Between 13:39 UTC and 13:42 UTC on Oct 9, 2025, around 2.3% of REST API calls and 0.4% Web traffic were impacted due to the partial rollout of a new feature that had more impact on one of our primary databases than anticipated. When the feature was partially rolled out it performed an excessive number of writes per request which caused excessive latency for writes from other API and Web endpoints and resulted in 5xx errors to customers. The issue was identified by our automatic alerting and reverted by turning down the percentage of traffic to the new feature, which led to recovery of the data cluster and services. We are working to improve the way we roll out new features like this and move the specific writes from this incident to a storage solution more suited to this type of activity. We have also optimized this particular feature to avoid its rollout from having future impact on other areas of the site. We are also investigating how we can even more quickly identify issues like this.",https://www.githubstatus.com/incidents/kk58nfytx0c7
Disruption with some GitHub services,minor,Issues,2025-10-07 19:48,2025-10-08 00:05,257,2025,10,"Oct 7, 19:48 - Oct 8, 00:05 UTC","On October 7, 2025, between 7:48 PM UTC and October 8, 12:05 AM UTC (approximately 4 hours and 17 minutes), the audit log service was degraded, creating a backlog and delaying availability of new audit log events. The issue originated in a third-party dependency.We mitigated the incident by working with the vendor to identify and resolve the issue. Write operations recovered first, followed by the processing of the accumulated backlog of audit log events.We are working to improve our monitoring and alerting for audit log ingestion delays and strengthen our incident response procedures to reduce our time to detection and mitigation of issues like this one in the future.",https://www.githubstatus.com/incidents/9f6pfjj0scrd
Incident with Copilot,minor,Copilot,2025-10-03 02:41,2025-10-03 03:47,66,2025,10,"Oct 3, 02:41 - 03:47 UTC","On October 3rd, between approximately 10:00 PM and 11:30 Eastern, the Copilot service experienced degradation due to an issue with our upstream provider. Users encountered elevated error rates when using the following Claude models: Claude Sonnet 3.7, Claude Opus 4, Claude Opus 4.1, Claude Sonnet 4, and Claude Sonnet 4.5. No other models were impacted.The issue was mitigated by temporarily disabling affected endpoints while our provider resolved the upstream issue. GitHub is working with our provider to further improve the resiliency of the service to prevent similar incidents in the future.",https://www.githubstatus.com/incidents/34wtrn4nngwk
Degraded Gemini 2.5 Pro experience in Copilot,minor,Copilot,2025-10-01 16:43,2025-10-02 22:33,1790,2025,10,"Oct 1, 16:43 - Oct 2, 22:33 UTC","Between October 1st, 2025 at 1 AM UTC and October 2nd, 2025 at 10:33 PM UTC, the Copilot service experienced a degradation of the Gemini 2.5 Pro model due to an issue with our upstream provider. Before 15:53 UTC on October 1st, users experienced higher error rates with large context requests while using Gemini 2.5 Pro. After 15:53 UTC and until 10:33 PM UTC on October 2nd, requests were restricted to smaller context windows when using Gemini 2.5. Pro. No other models were impacted.The issue was resolved by a mitigation put in place by our provider.  GitHub is collaborating with our provider to enhance communication and improve the ability to reproduce issues with the aim to reduce resolution time.",https://www.githubstatus.com/incidents/l94jr9wnhs4r
Degraded Performance for GitHub Actions MacOS Runners,minor,Actions,2025-10-01 07:59,2025-10-01 16:55,536,2025,10,"Oct 1, 07:59 - 16:55 UTC","On October 1, 2025 between 07:00 UTC and 17:20 UTC, Mac hosted runner capacity for Actions was degraded, leading to timed out jobs and long queue times. On average, the error rate was 46% and peaked at 96% of requests to the service. XL and Intel runners recovered by 10:10 UTC, with the other types taking longer to recover.The degraded capacity was triggered by a scheduled event at 07:00 UTC that led to a permission failure on Mac runner hosts, blocking reimage operations.  The permission issue was resolved by 9:41 UTC, but the recovery of available runners took longer than expected due to a combination of backoff logic slowing backend operations and some hosts needing state resets.We deployed changes immediately following the incident to address the scheduled event and ensure that similar failures will not block critical operations in the future. We are also working to reduce the end-to-end time for self-healing of offline hosts for quicker full recovery of future capacity or host events.",https://www.githubstatus.com/incidents/071h21gptcp0
Disruption with Gemini 2.5 Pro and Gemini 2.0 Flash in Copilot,minor,Copilot,2025-09-29 18:39,2025-09-29 19:12,33,2025,9,"Sep 29, 18:39 - 19:12 UTC","On September 29, 2025, between 17:53 and 18:42 UTC, the Copilot service experienced a degradation of the Gemini 2.5 model due to an issue with our upstream provider. Approximately 24% of requests failed, affecting 56% of users during this period. No other models were impacted.GitHub notified the upstream provider of the problem as soon as it was detected. The issue was resolved after the upstream provider rolled back a recent change that caused the disruption. GitHub will continue to enhance our monitoring and alerting systems to reduce the time it takes to detect and mitigate similar issues in the future.",https://www.githubstatus.com/incidents/0s5rb1l03m76
Disruption with some GitHub services,major,Copilot,2025-09-29 16:45,2025-09-29 17:33,48,2025,9,"Sep 29, 16:45 - 17:33 UTC","On September 29, 2025 between 16:26 UTC and 17:33 UTC the Copilot API experienced a partial degradation causing intermittent erroneous 404 responses for an average of 0.2% of GitHub MCP server requests, peaking at times around 2% of requests. The issue stemmed from an upgrade of an internal dependency which exposed a misconfiguration in the service.We resolved the incident by rolling back the upgrade to address the misconfiguration. We fixed the configuration issue and will improve documentation and rollout process to prevent similar issues.",https://www.githubstatus.com/incidents/t291vx7m731z
Disruption with some GitHub services,minor,Issues,2025-09-25 17:00,2025-09-25 17:36,36,2025,9,"Sep 25, 17:00 - 17:36 UTC","On September 26, 2025 between 16:22 UTC and 18:32 UTC raw file access was degraded for a small set of four repositories. On average, raw file access error rate was 0.01% and peaked at 0.16% of requests. This was due to a caching bug exposed by excessive traffic to a handful of repositories. We mitigated the incident by resetting the state of the cache for raw file access and are working to improve cache usage and testing to prevent issues like this in the future.",https://www.githubstatus.com/incidents/xcn454p4wqtz
Disruption with some GitHub services,major,Notifications,2025-09-24 14:46,2025-09-24 15:36,50,2025,9,"Sep 24, 14:46 - 15:36 UTC","On September 23, 2025, between 15:29 UTC and 17:38 UTC and also on September 24, 2025 between 15:02 UTC and 15:12, email deliveries were delayed up to 50 minutes which resulted in significant delays for most types of email notifications. This occurred due to an unusually high volume of traffic which caused resource contention on some of our outbound email servers.We have updated the configuration we use to better allocate capacity when there is a high volume of traffic and are also updating our monitors so we can detect this type of issue before it becomes a customer impacting incident.",https://www.githubstatus.com/incidents/pm0l7tdd6nyk
Claude Opus 4 is experiencing degraded performance,minor,Copilot,2025-09-24 09:08,2025-09-24 09:18,10,2025,9,"Sep 24, 09:08 - 09:18 UTC","On September 24th, 2025, between 08:02 UTC and 09:11 UTC the Copilot service was degraded for Claude Opus 4 and Claude Opus 4.1 requests. On average, 22% of requests failed for Claude Opus 4 and 80% of requests for Claude Opus 4.1. This was due to an upstream provider returning elevated errors on Claude Opus 4 and Opus 4.1.

We mitigated the issue by directing users to select other models and by monitoring recovery. To resolve the issue, we are expanding failover capabilities by integrating with additional infrastructure providers.",https://www.githubstatus.com/incidents/nv48dwqdzd54
Incident with Copilot,minor,Copilot,2025-09-23 22:22,2025-09-24 00:26,124,2025,9,"Sep 23, 22:22 - Sep 24, 00:26 UTC","Between 20:06 UTC September 23 and 04:58 UTC September 24, 2025, the Copilot service experienced degraded availability for Claude Sonnet 4 and 3.7 model requests.During this period, 0.46% of Claude 4 requests and 7.83% of Claude 3.7 requests failed.The reduced availability resulted from Copilot disabling routing to an upstream provider that was experiencing issues and reallocating capacity to other providers to manage requests for Claude Sonnet 3.7 and 4.We are continuing to investigate the source of the issues with this provider and will provide an update as more information becomes available.",https://www.githubstatus.com/incidents/cm1pvx7g44d5
Incident with Pages and Actions,minor,Actions,2025-09-23 17:28,2025-09-23 17:41,13,2025,9,"Sep 23, 17:28 - 17:41 UTC","On September 23, between 17:11 and 17:40 UTC, customers experienced failures and delays when running workflows on GitHub Actions and building or deploying GitHub Pages. The issue was caused by a faulty configuration change that disrupted service to service communication in GitHub Actions. During this period, in-progress jobs were delayed and new jobs would not start due to a failure to acquire runners, and about 30% of all jobs failed. GitHub Pages users were unable to build or deploy their Pages during this period.The offending change was rolled back within 15 minutes of its deployment, after which Actions workflows and Pages deployments began to succeed. Actions customers continued to experience delays for about 15 minutes after the rollback was completed while services worked through the backlog of queued jobs. We are planning to implement additional rollout checks to help detect and prevent similar issues in the future.",https://www.githubstatus.com/incidents/zlzvt6h3ck58
Disruption with some GitHub services,minor,Notifications,2025-09-23 16:46,2025-09-23 17:40,54,2025,9,"Sep 23, 16:46 - 17:40 UTC","On September 23, 2025, between 15:29 UTC and 17:38 UTC and also on September 24, 2025 between 14:02 UTC and 15:12 UTC, email deliveries were delayed up to 50 minutes which resulted in significant delays for most types of email notifications. This occurred due to an unusually high volume of traffic which caused resource contention on some of our outbound email servers.We have updated the configuration we use to better allocate capacity when there is a high volume of traffic and are also updating our monitors so we can detect this type of issue before it becomes a customer impacting incident.",https://www.githubstatus.com/incidents/6kcgrd38691w
Incident with Codespaces,minor,Codespaces,2025-09-17 15:04,2025-09-17 17:55,171,2025,9,"Sep 17, 15:04 - 17:55 UTC","On September 17, 2025 between 13:23 and 16:51 UTC some users in West Europe experienced issues with Codespaces that had shut down due to network disconnections and subsequently failed to restart. Codespace creations and resumes were failed over to another region at 15:01 UTC. While many of the impacted instances self-recovered after mitigation efforts, approximately 2,000 codespaces remained stuck in a ""shutting down"" state while the team evaluated possible methods to recover unpushed data from the latest active session of affected codespaces. Unfortunately, recovery of that data was not possible. We unblocked shutdown of those codespaces, with all instances either shut down or available by 8:26 UTC on September 19.The disconnects were triggered by an exhaustion of resources in the network relay infrastructure in that region, but the lack of self-recovery was caused by an unhandled error impacting the local agent, which led to an unclean shutdown.We are improving the resilience of the local agent to disconnect events to ensure shutdown of codespaces is always clean without data loss.  We have also addressed the exhausted resources in the network relay and will be investing in improved detection and resilience to reduce the impact of similar events in the future.",https://www.githubstatus.com/incidents/rdzg3x1qwtb3
Unauthenticated LFS requests for public repos are returning unexpected 401 errors,minor,API,2025-09-16 17:55,2025-09-16 18:30,35,2025,9,"Sep 16, 17:55 - 18:30 UTC","Between 16:26 UTC on September 15th and 18:30 UTC on September 16th, anonymous REST API calls to approximately 20 endpoints were incorrectly rejected because they were not authenticated. While this caused unauthenticated requests to be rejected by these endpoints, all authenticated requests were unaffected, and no protected endpoints were exposed.This resulted in 100% of requests to these endpoints failing at peak, representing less than 0.1% of GitHub’s overall request volume. On average, the error rate for these endpoints was less than 50% and peaked at 100% for about 26 hours over September 16th. API requests to the impacted endpoints were rejected with a 401 error code. This was due to a mismatch in authentication policies, for specific endpoints, during a system migration.The failure to detect the errors was the result of the issue occurring for a low percentage of traffic.We mitigated the incident by reverting the policy in question, and correcting the logic associated with the degraded endpoints. We are working to improve our test suite to further validate mismatches, and refining our monitors for proactive detection.",https://www.githubstatus.com/incidents/nh22ywy9dh84
Creating GitHub apps using the REST API will fail with a 401 error,minor,API,2025-09-16 17:14,2025-09-16 17:45,31,2025,9,"Sep 16, 17:14 - 17:45 UTC","Between 16:26 UTC on September 15th and 18:30 UTC on September 16th, anonymous REST API calls to approximately 20 endpoints were incorrectly rejected because they were not authenticated. While this caused unauthenticated requests to be rejected by these endpoints, all authenticated requests were unaffected, and no protected endpoints were exposed.This resulted in 100% of requests to these endpoints failing at peak, representing less than 0.1% of GitHub’s overall request volume. On average, the error rate for these endpoints was less than 50% and peaked at 100% for about 26 hours over September 16th. API requests to the impacted endpoints were rejected with a 401 error code. This was due to a mismatch in authentication policies, for specific endpoints, during a system migration.The failure to detect the errors was the result of the issue occurring for a low percentage of traffic.We mitigated the incident by reverting the policy in question, and correcting the logic associated with the degraded endpoints. We are working to improve our test suite to further validate mismatches, and refining our monitors for proactive detection.",https://www.githubstatus.com/incidents/3kjv06tdxxfn
Repository search is degraded,minor,Actions,2025-09-13 12:44,2025-09-15 21:01,3377,2025,9,"Sep 13, 12:44 - Sep 15, 21:01 UTC","At around 18:45 UTC on Friday, September 12, 2025, a change was deployed that unintentionally affected search index management. As a result, approximately 25% of repositories were temporarily missing from search results.By 12:45 UTC on Saturday, September 14, most missing repositories were restored from an earlier search index snapshot, and repositories updated between the snapshot and the restoration were reindexed. This backfill was completed at 21:25 UTC.After these repairs, about 98.5% of repositories were once again searchable. We are performing a full reconciliation of the search index and customers can expect to see records being updated and content becoming searchable for all repos again between now and Sept 25.NOTE: Users who notice missing or outdated repositories in search results can force reindexing by starring or un-starring the repository. Other repository actions such as adding topics, or updating the repository description, will also result in reindexing. In general, changes to searchable artifacts in GitHub will also update their respective search index in near-real time.User impact has been mitigated with the exception of the 1.5% of repos that are missing from the search index. The change responsible for the search issue has been reverted, and full reconciliation of the search index is underway, expected to complete by September 23. We have added additional checks to our indexing model to ensure this failure does not happen again. We are also investigating faster repair alternatives.To avoid resource contention and possible further issues we are currently not repairing repositories or organizations individually at this time. No repository data was lost, and other search types were not affected.",https://www.githubstatus.com/incidents/n3vgjzqv7d18
