month,title,impact,date_text,body,link
May 2025,Incident with Webhooks,none,"May 21, 09:00 - 09:00 UTC","A change to the webhooks UI removed the ability to add webhooks. The timeframe of this impact was between May 20th, 2025 20:40 UTC and May 21st, 2025 12:55 UTC. Existing webhooks, as well as adding webhooks via the API were unaffected. The issue has been fixed.",https://www.githubstatus.com/incidents/89gkzpf9fc20
May 2025,Incident with Copilot,minor,"May 20, 19:37 - 20:02 UTC","On May 20, 2025, between 18:18 UTC and 19:53 UTC, Copilot Code Completions were degraded in the Americas. On average the error rate was 50% of requests to the service in the affected region. This was due to a misconfiguration in load distribution parameters after a scale down operation.We mitigated the incident by addressing the misconfiguration.We are working to improve our automated failover and load balancing mechanisms to reduce our time to detection and mitigation of issues like this one in the future.",https://www.githubstatus.com/incidents/d3nnz2ckp2f7
May 2025,Elevated error rates for Claude Sonnet 3.7,minor,"May 20, 13:10 - 16:08 UTC","On May 20, 2025, between 12:09 PM UTC and 4:07 PM UTC, the GitHub Copilot service experienced degraded availability, specifically for the Claude Sonnet 3.7 model. During this period, the success rate for Claude Sonnet 3.7 requests was highly variable, down to approximately 94% during the most severe spikes. Other models remained available and working as expected throughout the incident.The issue was caused by capacity constraints in our model processing infrastructure that affected our ability to handle the large volume of Claude Sonnet 3.7 requests.We mitigated the incident by rebalancing traffic across our infrastructure, adjusting rate limits, and working with our infrastructure teams to resolve the underlying capacity issues. We are working to improve our infrastructure redundancy and implementing more robust monitoring to reduce detection and mitigation time for similar incidents in the future.",https://www.githubstatus.com/incidents/rkkhrht3j3y3
May 2025,GitHub Enterprise Importer (GEI) is experiencing degraded throughput,minor,"May 16, 13:46 - May 17, 02:27 UTC","Between May 16, 2025, 1:21 PM UTC and May 17, 2025, 2:26 AM UTC, the GitHub Enterprise Importer service was degraded and experienced slow processing of customer migrations. Customers may have seen extended wait times for migrations to start or complete.This incident was initially observed as a slowdown in migration processing. During our investigation, we identified that a recent change aimed at improving API query performance caused an increase in load signals, which triggered migration throttling. As a result, the performance of migrations was negatively impacted, and overall migration duration increased. In parallel, we identified a race condition that caused a specific migration to be repeatedly re-queued, further straining system resources and contributing to a backlog of migration jobs, resulting in accumulated delays. No data was lost, and all migrations were ultimately processed successfully.We have reverted the feature flag associated with a query change and are working to improve system safeguards to help prevent similar race condition issues from occurring in the future.",https://www.githubstatus.com/incidents/71tl7pkqysgw
May 2025,Disruption with some GitHub services,minor,"May 16, 09:22 - 15:24 UTC","On May 16th, 2025, between 08:42:00 UTC and 12:26:00 UTC, the data store powering the Audit Log API service experienced elevated latency resulting in higher error rates due to timeouts. About 3.8%  of Audit Log API queries for Git events experienced timeouts. The data store team deployed mitigating actions which resulted in a full recovery of the data store’s availability.",https://www.githubstatus.com/incidents/3nn1p9h5b76h
May 2025,Disruption with Gemini 2.5 Pro,minor,"May 15, 12:41 - 22:58 UTC","Between May 15, 2025 10:10 UTC and May 15, 2025 22:58 UTC the Copilot service was degraded and returned a high volume of internal server errors for requests targeting Gemini 2.5 Pro, a public preview model. This was due to a high volume of rate limiting by the upstream model provider, similar in volume to the internal server errors during the previous day.We mitigated the incident by temporarily disabling Gemini 2.5 Pro for all Copilot Chat experiences, and then worked with the model provider to ensure model health was sufficiently improved before re-enabling.We are working with the model provider to move to more resilient infrastructure to mitigate issues like this one in the future.",https://www.githubstatus.com/incidents/pzrqw1n5ynw3
May 2025,[Scheduled] Codespaces Scheduled Maintenance,maintenance,"May 14, 16:30 - May 15, 16:30 UTC",The scheduled maintenance has been completed.,https://www.githubstatus.com/incidents/bs901hhxgw33
May 2025,Disruption with some GitHub services,minor,"May 15, 07:00 - 10:38 UTC","On May 15, 2025, between 00:08 AM UTC and 10:21 AM UTC, customers were unable to create fine-grained Personal Access Tokens (PATs) on github.com. This incident was triggered by a recent code change to our front end that unintentionally affected the way certain pages loaded and prevented the PAT creation process from completing.We mitigated the incident by reverting the problematic change. To reduce the likelihood of similar issues in the future, we are improving our monitoring for page load anomalies and PAT creation failures and improving our safe deployment practices.",https://www.githubstatus.com/incidents/hjylhb7b8zcq
May 2025,Disruption with Gemini 2.5 Pro model,minor,"May 14, 14:39 - May 15, 01:02 UTC","Between May 14, 2025 14:16 UTC and May 15, 2025 01:02 UTC the Copilot service was degraded and returned a high volume of internal server errors for requests targeting Gemini 2.5 Pro, a public preview model. On average, the error rate for Gemini 2.5 Pro was 19.6% and peaked at 41%. This was due to a high volume of internal server errors and rate limiting by the upstream model provider.We mitigated the incident by temporarily disabling Gemini 2.5 Pro for all Copilot Chat experiences, and then worked with the model provider to ensure model health was sufficiently improved before re-enabling.We are working with partners to improve communication speed and are planning to move to more resilient infrastructure to mitigate issues like this one in the future.",https://www.githubstatus.com/incidents/kpv13bbn84n5
May 2025,Disruption with some GitHub services,minor,"May 12, 14:53 - 15:06 UTC",This incident has been resolved. Thank you for your patience and understanding as we addressed this issue. A detailed root cause analysis will be shared as soon as it is available.,https://www.githubstatus.com/incidents/gxf0jzns6rn2
May 2025,[Scheduled] Codespaces Scheduled Maintenance,maintenance,"May 7, 16:30 - May 8, 16:30 UTC",The scheduled maintenance has been completed.,https://www.githubstatus.com/incidents/hkp6z7kt2qm6
May 2025,Incident with Git Operations,minor,"May 8, 15:20 - 16:27 UTC","On May 8, 2025, between 14:40 UTC and 16:27 UTC the Git Operations service was degraded causing some pushes and merges to fail. On average, the error rate was 1.4% with a peak error rate of 2.24%. This was due to a configuration change which unexpectedly led a critical service to shut down on a subset of hosts that store repository data.We mitigated the incident by re-deploying the affected service to restore its functionality.In order to prevent similar incidents from happening again, we identified the cause that triggered this behavior and mitigated it for future deployments. Additionally, to reduce time to detection we will improve monitoring of the impacted service.",https://www.githubstatus.com/incidents/42gtccf6dd98
May 2025,Issue Attachments Failing to Upload,major,"May 1, 22:28 - 23:13 UTC","On May 1, 2025 from 22:09 UTC to 23:13 UTC, the Issues service was degraded and users weren't able to upload attachments. The root cause was identified to be a new feature which added a custom header to all client-side HTTP requests, causing a CORS errors when uploading attachments to our provider.We mitigated the incident by rolling back the feature flag that added the new header at 22:56 UTC. In order to prevent this from happening again, we are adding new metrics to monitor and ensure the safe rollout of changes to client-side requests.",https://www.githubstatus.com/incidents/9zmv2mqqxsbm
April 2025,Disruption with Pull Request Ref Updates,minor,"Apr 30, 20:51 - 21:05 UTC","On April 30, 2025, between 8:02 UTC and 9:05 UTC, the Pull Requests service was degraded and failed to update refs for repositories with higher traffic. This was due to a repository migration creating a larger than usual number of enqueued jobs. This resulted in an increase in job failures, delays for non-migration sourced jobs, and delays to tracking refs.We declared an incident once we confirmed that this issue was not isolated to the migrating repository and other repositories were also failing to process ref updates.We mitigated the incident by shifting the migration jobs to a different job queue.To avoid problems like this in the future, we are revisiting our repository migration process and are working to isolate potentially problematic migration workloads from non-migration workloads.",https://www.githubstatus.com/incidents/7r0jg1plygfm
April 2025,Delays for web and email notification delivery,minor,"Apr 29, 10:05 - 12:52 UTC","On April 29th, 2025, between 8:40am UTC and 12:50pm UTC the notifications service was degraded and stopped delivering most web and email notifications as well as some mobile push notifications. This was due to a large and faulty schema migration that rendered a set of database primaries unhealthy, affecting the notification delivery pipelines, causing delays in the most of the web and email notification deliveries.We mitigated the incident by stopping the migration and promoting replicas to replace the unhealthy primaries.In order to prevent similar incidents in the future, we are addressing the underlying issues in the online schema tooling and improving the way we interact with the database to not be disruptive to production workloads.",https://www.githubstatus.com/incidents/jvyb8cp9h0lh
April 2025,"Incident with Git Operations, API Requests and Issues",minor,"Apr 28, 08:03 - 11:09 UTC","On April 28th, 2025, between 4AM and 11AM UTC, ~0.5% of customers experienced HTTP 500 or 429 responses for raw file access (via the GitHub website and APIs). Additionally, ~0.5% of customers may have seen slow pull request page loads and increased timeouts in the GraphQL API. The incident was caused by queueing in serving systems due to a change in traffic patterns, specifically scraping activity targeting our API. We have adjusted limits and added flow control to systems in response to the changing traffic patterns to improve our ability to prevent future large queueing issues. We’ve additionally updated rate limiting unauthenticated requests to reduce overall load, more details are here:  https://github.blog/changelog/2025-05-08-updated-rate-limits-for-unauthenticated-requests/",https://www.githubstatus.com/incidents/7lbnm9mg6549
April 2025,Disruption with some GitHub services,major,"Apr 23, 21:38 - 22:20 UTC","Starting at 19:13:50 UTC, the service responsible for importing Git repositories began experiencing errors that impacted both GitHub Enterprise Importer migrations and the GitHub Importer which were restored at 22:11:00 UTC. At the time, 837 migrations across 57 organizations were affected. Impacted migrations would have shown the error message ""Git source migration failed. Error message: An error occurred. Please contact support for further assistance."" in the migration logs and required a retry.The root cause of the issue was a recent configuration change that caused our workers, responsible for syncing the Git repository, to lose the necessary access required for the migration. We were able to retrieve the needed access for the workers , and all dependent services resumed normal operation.We’ve identified and implemented additional safeguards to help prevent similar disruptions in the future.",https://www.githubstatus.com/incidents/7hdyxpt7sdzm
April 2025,"Incident with Issues, API Requests and Pages",major,"Apr 23, 07:17 - 08:00 UTC","On April 23, 2025, between 07:00 UTC and 07:20 UTC, multiple GitHub services experienced degradation caused by resource contention on database hosts. The resulting error rates, which ranged from 2–5% of total requests, led to intermittent service disruption for users. The issue was triggered by heavy workloads on the database leading to connection saturation.

The incident mitigated when the database throttling activated which allowed the system to rebalance the connections. This restored the traffic flow to the database and restored service functionality.

To prevent similar issues in the future, we are reviewing the capacity of the database, improving monitoring and alerting systems, and implementing safeguards to reduce time to detection and mitigation.",https://www.githubstatus.com/incidents/lrby2hyk80dh
April 2025,[Scheduled] Codespaces Scheduled Maintenance,maintenance,"Apr 21, 16:30 - Apr 22, 16:30 UTC",The scheduled maintenance has been completed.,https://www.githubstatus.com/incidents/znhjr4vqqcdw
April 2025,Disruption with some GitHub services,minor,"Apr 15, 18:20 - Apr 17, 17:35 UTC","On April 15th during regular testing we found a bug in our Copilot Metrics Pipeline infrastructure causing some data used to aggregate Copilot usage for the Copilot Metrics API to not be ingested. As a result of the bug, customer metrics in the Copilot Metrics API would have indicated lower than expected Copilot usage for the previous 28 days.To mitigate the incident we resolved the bug so that all data from April 14th onwards would be accurately calculated and immediately began backfilling the previous 28 days with the correct data. All data has been corrected as of 2025-04-17 5:34PM UTC.We have added additional monitoring to catch similar pipeline failures in the future earlier and are working on enhancing our data validation to ensure that all metrics we provide are accurate.",https://www.githubstatus.com/incidents/jmfzh1p2yrg2
April 2025,Incident with Pull Requests,minor,"Apr 16, 15:22 - 17:26 UTC","On April 16, 2025 between 3:22:36 PM UTC and  5:26:55 PM UTC the Pull Request service was degraded. On average, 0.7% of page views were affected. This primarily affected logged-out users, but some logged-in users were affected as well. This was due to an error in how certain Pull Request timeline events were rendered, and we resolved the incident by updating the timeline event code.We are enhancing test coverage to include additional scenarios and piloting new tools to prevent similar incidents in the future.",https://www.githubstatus.com/incidents/jhs2z7c69yfd
April 2025,Disruption with some GitHub services for Safari Users,minor,"Apr 15, 13:30 - 14:12 UTC","On April 15, 2025 from 12:45 UTC to 13:56 UTC, access to GitHub.com was restricted for logged out users using WebKit-based browsers, such as Safari and various mobile browsers. During the impacting time, roughly 6.6M requests were unsuccessful.This issue was caused by a configuration change intended to improve our handling of large traffic spikes but was improperly targeted at too large a set of requests.To prevent future incidents like this, we are improving how we operationalize these types of changes, adding additional tools for validating what will be impacted by such changes, and reducing the likelihood of manual mistakes through automated detection and handling of such spikes.",https://www.githubstatus.com/incidents/0r3t35cbghdy
April 2025,[Retroactive] Access from China temporarily blocked for users that were not logged in,major,"Apr 12, 20:00 - 20:00 UTC","Due to a configuration change with unintended impact, some users that were not logged in who tried to visit GitHub.com from China were temporarily unable to access the site. For users already logged in, they could continue to access the site successfully. Impact started 2025/04/12 at 20:01 UTC. Impact was mitigated 2025/04/13 at 14:55 UTC. During this time, up to 4% of all anonymous requests originating from China were unsuccessful.

The configuration changes that caused this impact have been reversed and users should no longer see problems when trying to access GitHub.com.",https://www.githubstatus.com/incidents/jfvgcls9swln
April 2025,Incident with Codespaces,major,"Apr 11, 00:28 - 00:51 UTC","On April 11 from 3:05am UTC to 3:44am UTC, approximately 75% of Codespaces users faced create and start failures. These were caused by manual configuration changes to an internal dependency. We reverted the changes and immediately restored service health.We are working on safer mechanisms for testing and rolling out such configuration changes, and we expect no further disruptions.",https://www.githubstatus.com/incidents/6kf8j273wf0l
April 2025,Disruption with some Pull Requests stuck in processing state,minor,"Apr 9, 23:27 - Apr 10, 00:39 UTC","On April 9, 2025, between 11:27 UTC and 12:39 UTC, the Pull Requests service was degraded and experienced delays in processing updates. At peak, approximately 1–1.5% of users were affected by delays in synchronizing pull requests. During this period, users may have seen a ""Processing updates"" message in their pull requests after pushing new commits, and the new commits did not appear in the Pull Request view as expected. The Pull Request synchronization process has automatic retries and most delays were automatically resolved. Any Pull Requests that were not resynchronized during this window were manually synchronized on Friday, April 11 at 14:23 UTC.This was due to a misconfigured GeoIP lookup file that our routine GitHub operations depended on and led to background job processing to fail. We mitigated the incident by reverting to a known good version of the GeoIP lookup file on affected hosts.We are working to enhance our CI testing and automation by validating GeoIP metadata to reduce our time to detection and mitigation of issues like this one in the future.",https://www.githubstatus.com/incidents/vxfd5br11t6v
April 2025,Incident with Pull Requests,minor,"Apr 9, 09:00 - 09:31 UTC","On April 9, 2025, between 7:01 UTC and 9:31 UTC, the Pull Requests service was degraded and failed to update refs for repositories with higher traffic. This was due to a repository migration creating a larger than usual number of enqueued jobs. This resulted in an increase in job failures and  delays for non-migration sourced jobs.We declared an incident once we confirmed that this issue was not isolated to the migrating repository and other repositories were also failing to process ref updates.We mitigated the incident by shifting the migration jobs to a different job queue. To avoid problems like this in the future, we are revisiting our repository migration process and are working to isolate potentially problematic migration workloads from non-migration workloads.",https://www.githubstatus.com/incidents/mb56b2qv4pyz
April 2025,Vision requests are unavailable for certain models on Copilot Chat on github.com,minor,"Apr 8, 17:53 - 18:21 UTC","On 2025-04-08, between 00:42 and 18:05 UTC, as we rolled out an updated version of our GPT 4o model, we observed that vision capabilities for GPT-4o for Copilot Chat in GitHub were intermittently unavailable. During this period, customers may have been unable to upload image attachments to Copilot Chat in GitHub. In response, we paused the rollout at 18:05 UTC. Recovery began immediately and telemetry indicates that the issue was fully resolved by 18:21 UTC. Following this incident, we have identified areas of improvements in our model rollout process, including enhanced monitoring and expanded automated and manual testing of our end-to-end capabilities.",https://www.githubstatus.com/incidents/mdfybxmvbp0z
April 2025,Disruption with some GitHub services,minor,"Apr 7, 02:19 - 02:31 UTC","On April 7, 2025 between 2:15:37 AM UTC and 2:31:14 AM UTC, multiple GitHub services were degraded. Requests to these services returned 5xx errors at a high rate due to an internal database being exhausted by our Codespaces service. The incident mitigated on its own.We have addressed the problematic queries from the Codespaces service, minimizing the risk of future reoccurrances.",https://www.githubstatus.com/incidents/cjq2q04mfydp
April 2025,Disruption with some GitHub services,minor,"Apr 3, 18:51 - 19:12 UTC","On 2025-04-03, between 6:13:27 PM UTC and 7:12:00 PM UTC the docs.github.com service was degraded and errored. On average, the error rate was 8% and peaked at 20% of requests to the service. This was due to a misconfiguration and elevated requests.We mitigated the incident by correcting the misconfiguration.We are working to reduce our time to detection and mitigation of issues like this one in the future.",https://www.githubstatus.com/incidents/6xn7r7hhrq72
April 2025,[Scheduled] Scheduled Codespaces Maintenance,maintenance,"Apr 2, 17:00 - Apr 3, 17:00 UTC",The scheduled maintenance has been completed.,https://www.githubstatus.com/incidents/xb49wskhzrm2
April 2025,Disruption with some GitHub services,minor,"Apr 2, 19:08 - 20:20 UTC","Between 2025-03-27 12:00 UTC and 2025-04-03 16:00 UTC, the GitHub Enterprise Cloud Dormant Users report was degraded and falsely indicated that dormant users were active within their business. This was due to increased load on a database from a non-performant query.We mitigated the incident by increasing the capacity of the database, and installing monitors for this specific report to improve observability for future. As a long-term solution, we are rewriting the Dormant Users report to optimize how it queries for user activity, which will result in significantly faster and accurate report generation.",https://www.githubstatus.com/incidents/d3t3d2jn3b0j
April 2025,Disruption with some GitHub services,minor,"Apr 1, 08:31 - 09:29 UTC","On April 1st, 2025, between 08:17:00 UTC and 09:29:00 UTC the data store powering the Audit Log service experienced elevated errors resulting in an approximate 45 minute delay of Audit Log Events. Our systems maintained data continuity and we experienced no data loss. The delay only affected the Audit Log API and the Audit Log user interface. Any configured Audit Log Streaming endpoints received all relevant Audit Log Events. The data store team deployed mitigating actions which resulted in a full recovery of the data store’s availability.",https://www.githubstatus.com/incidents/mr6vzllykhmw
March 2025,Disruption with some GitHub services,major,"Mar 31, 16:27 - 17:57 UTC","Between March 29 7:00 UTC and March 31 17:00 UTC users were unable to unsubscribe from GitHub marketing email subscriptions due to a service outage. Additionally, on March 31, 2025 from 7:00 UTC to 16:40 UTC users were unable to submit eBook and event registration forms on resources.github.com, also due to a service outage. The incident occurred due to expired credentials used for an internal service. We mitigated it by renewing the credentials and redeploying the affected services. To improve future response times and prevent similar issues, we are enhancing our credential expiry detection, rotation processes, and on-call observability and alerting.",https://www.githubstatus.com/incidents/thpkk85p1sjy
March 2025,[Retroactive] Disruption with Pull Request Ref Updates,none,"Mar 28, 22:50 - 22:50 UTC","Beginning at 21:24 UTC on March 28 and lasting until 21:50 UTC, some customers of github.com had issues with PR tracking refs not being updated due to processing delays and increased failure rates. We did not status before we completed the rollback, and the incident is currently resolved. We are sorry for the delayed post on githubstatus.com.",https://www.githubstatus.com/incidents/7s7z64qbl194
March 2025,Disruption with some GitHub services,major,"Mar 28, 17:53 - 18:14 UTC",This incident was opened by mistake. Public services are currently functional.,https://www.githubstatus.com/incidents/vhzbr55p9jtx
March 2025,Disruption with Pull Request Ref Updates,minor,"Mar 27, 23:49 - Mar 28, 01:40 UTC","Between March 27, 2025, 23:45 UTC and March 28, 2025, 01:40 UTC the Pull Requests service was degraded and failed to update refs for repositories with higher traffic activity. This was due to a large repository migration that resulted in a larger than usual number of enqueued jobs; while simultaneously impacting git fileservers where the problematic repository was hosted. This resulted in an increase in queue depth due to retries on failures to perform those jobs causing delays for non-migration sourced jobs.We declared an incident once we confirmed that this issue was not isolated to the problematic migration and other repositories were also failing to process ref updates. We mitigated the issue by stopping the migration and short circuiting the remaining jobs. Additionally, we increased the worker pool of this job to reduce the time required to recover. As a result of this incident, we are revisiting our repository migration process and are working to isolate potentially problematic migration workloads from non-migration workloads.",https://www.githubstatus.com/incidents/lnvht7g03czs
March 2025,[Retroactive] Incident with Migrations Submitted Via GitHub UI,minor,"Mar 23, 18:00 - 18:00 UTC","Between 2024-03-23 18:10 UTC and 2024-03-24 16:10 UTC, migration jobs submitted through the GitHub UI experienced processing delays and increased failure rates. This issue only affected migrations initiated via the web interface. Migrations started through the API or the command line tool continued to function normally. We are sorry for the delayed post on githubstatus.com.",https://www.githubstatus.com/incidents/cyf5mhwh42tt
March 2025,Disruption with some GitHub services,minor,"Mar 21, 12:40 - 13:44 UTC","On March 21st, 2025, between 11:45 UTC and 13:20 UTC, users were unable to interact with GitHub Copilot Chat in GitHub. The issue was caused by a recently deployed Ruby change that unintentionally overwrote a global value. This led to GitHub Copilot Chat in GitHub being misconfigured with an invalid URL, preventing it from connecting to our chat server. Other Copilot clients were not affected.We mitigated the incident by identifying the source of the problematic query and rolling back the deployment.We are reviewing our deployment tooling to reduce the time to mitigate similar incidents in the future. In parallel, we are also improving our test coverage for this category of error to prevent them from being deployed to production.",https://www.githubstatus.com/incidents/kgjdbjz65clj
March 2025,Intermittent GitHub Actions workflow failures,minor,"Mar 21, 06:21 - 09:34 UTC","On March 21st, 2025, between 05:43 UTC and 08:49 UTC, the Actions service experienced degradation, leading to workflow run failures. During the incident, approximately 2.45% of workflow runs failed due to an infrastructure failure. This incident was caused by intermittent failures in communicating with an underlying service provider. We are working to improve our resilience to downtime in this service provider and to reduce the time to mitigate in any future recurrences.",https://www.githubstatus.com/incidents/slgf0l5smt3j
March 2025,Incident with Codespaces,minor,"Mar 21, 02:12 - 03:08 UTC","On March 21, 2025 between 01:00 UTC and 02:45 UTC, the Codespaces service was degraded and users in various regions experienced intermittent connection failures. The peak error error was 30% of connection attempts across 38% of Codespaces. This was due to a service deployment.The incident was mitigated by completing the deployment to the impacted regions. We are working with the service team to identify the cause of the connection losses and perform necessary repairs to avoid future occurrences.",https://www.githubstatus.com/incidents/t1x87c1ntdcr
March 2025,Incident with Pages,minor,"Mar 20, 20:04 - 20:54 UTC","On March 20, 2025, between 19:24 UTC and 20:42 UTC the GitHub Pages experience was degraded and returned 503s for some customers. We saw an error rate of roughly 2% for Pages views, and new page builds were unable to complete successfully before timing out. This was due to replication failure at the database layer between a write destination and read destination. We mitigated the incident by redirecting reads to the same destination as writes. The error with replication occurred while in this transitory phase, as we are in the process of migrating the underlying data for Pages to new database infrastructure. Additionally our monitors failed to detect the error.We are addressing the underlying cause of the failed replication and telemetry.",https://www.githubstatus.com/incidents/kpkc9bwsd42f
March 2025,[Scheduled] Scheduled Migrations Maintenance,maintenance,"Mar 18, 21:00 - Mar 19, 05:00 UTC",The scheduled maintenance has been completed.,https://www.githubstatus.com/incidents/tldgc85p3q2d
March 2025,Incident with Actions: Queue Run Failures,minor,"Mar 18, 23:45 - Mar 19, 00:55 UTC","On March 18th, 2025, between 23:20 UTC and March 19th, 2025 00:15 UTC, the Actions service experienced degradation, leading to run start delays. During the incident, about 0.3% of all workflow runs queued during the time failed to start, about 0.67% of all workflow runs were delayed by an average of 10 minutes, and about 0.16% of all workflow runs ultimately ended with an infrastructure failure. This was due to a networking issue with an underlying service provider. At 00:15 UTC the service provider mitigated their issue, and service was restored immediately for Actions. We are working to improve our resilience to downtime in this service provider to reduce the time to mitigate in any future recurrences.",https://www.githubstatus.com/incidents/lg4s05t6ttxb
March 2025,Disruption with some GitHub services,minor,"Mar 18, 15:58 - 18:45 UTC","On March 18th, 2025, between 13:35 UTC and 17:45 UTC, some users of GitHub Copilot Chat in GitHub experienced intermittent failures when reading or writing messages in a thread, resulting in a degraded experience. The error rate peaked at 3% of requests to the service. This was due to an availability incident with a database provider. Around 16:15 UTC the upstream service provider mitigated their availability incident, and service was restored in the following hour.We are working to improve our failover strategy for this database to reduce the time to mitigate similar incidents in the future.",https://www.githubstatus.com/incidents/fpkvkrdmh033
March 2025,macos-15-arm64 hosted runner queue delays,minor,"Mar 18, 15:05 - 17:15 UTC","On March 18, between 13:04 and 16:55 UTC, Actions workflows relying on hosted runners using the beta MacOS 15 image experienced increased queue time waiting for available runners.  An image update was pushed the previous day that included a performance reduction.  The slower performance caused longer average runtimes, exhausting our available Mac capacity for this image.  This was mitigated by rolling back the image update.  We have updated our capacity allocation to the beta and other Mac images and are improving monitoring in our canary environments to catch this potential issue before it impacts customers.",https://www.githubstatus.com/incidents/yz50lpc8d4xq
March 2025,Incident with Issues,minor,"Mar 17, 18:39 - 23:02 UTC","Between March 17, 2025, 18:05 UTC and March 18, 2025, 09:50 UTC, GitHub.com experienced intermittent failures in web and API requests. These issues affected a small percentage of users (mostly related to pull requests and issues), with a peak error rate of 0.165% across all requests.We identified a framework upgrade that caused kernel panics in our Kubernetes infrastructure as the root cause. We mitigated the incident by downgrading until we were able to disable a problematic feature. In response, we have investigated why the upgrade caused the unexpected issue, have taken steps to temporarily prevent it, and are working on longer term patch plans while improving our observability to ensure we can quickly react to similar classes of problems in the future.",https://www.githubstatus.com/incidents/y8x4xw6j3q84
March 2025,Some Actions users are seeing their workflow jobs failing to start,minor,"Mar 12, 13:28 - 14:07 UTC","On March 12, 2025, between 13:28 UTC and 14:07 UTC, the Actions service experienced degradation leading to run start delays. During the incident, about 0.6% of workflow runs failed to start, 0.8% of workflow runs were delayed by an average of one hour, and 0.1% of runs ultimately ended with an infrastructure failure. The issue stemmed from connectivity problems between the Actions services and certain nodes within one of our Redis clusters. The service began recovering once connectivity to the Redis cluster was restored at 13:41 UTC. These connectivity issues are typically not a concern because we can fail over to healthier replicas. However, due to an unrelated issue, there was a replication delay at the time of the incident, and failing over would have caused a greater impact on our customers. We are working on improving our resiliency and automation processes for this infrastructure to improve the speed of diagnosing and resolving similar issues in the future.",https://www.githubstatus.com/incidents/nhcpszxtqxtm
March 2025,Incident with Actions and Pages,minor,"Mar 8, 17:45 - 18:11 UTC","On March 8, 2025, between 17:16 UTC and 18:02 UTC, GitHub Actions and Pages services experienced degraded performance leading to delays in workflow runs and Pages deployments. During this time, 34% of Actions workflow runs experienced delays, and a small percentage of runs using GitHub-hosted runners failed to start. Additionally, Pages deployments for sites without a custom Actions workflow (93% of them) did not run, preventing new changes from being deployed. An unexpected data shape led to crashes in some of our pods. We mitigated the incident by excluding the affected pods and correcting the data that led to the crashes. We’ve fixed the source of the unexpected data shape and have improved the overall resilience of our service against such occurrences.",https://www.githubstatus.com/incidents/m7vl0x8k3j9c
March 2025,Disruption with some GitHub services,minor,"Mar 7, 10:03 - 11:24 UTC","On March 7, 2025, from 09:30 UTC to 11:07 UTC, we experienced a networking event that disrupted connectivity to our search infrastructure, impacting about 25% of search queries and indexing attempts. Searches for PRs, Issues, Actions workflow runs, Packages, Releases, and other products were impacted, resulting in failed requests or stale data. The connectivity issue self-resolved after 90 minutes. The backlog of indexing jobs was fully processed and saw recovery soon after, and queries to all indexes also saw an immediate return to normal throughput.We are working with our cloud provider to identify the root cause and are researching additional layers of redundancy to reduce customer impact in the future for issues like this one. We are also exploring mitigation strategies for faster resolution.",https://www.githubstatus.com/incidents/lb0d8kp99f2v
March 2025,"Incident with Issues, Git Operations and API Requests",minor,"Mar 3, 04:20 - 05:31 UTC","On March 3rd 2025 between 04:07 UTC and 09:36 UTC various GitHub services were degraded with an average error rate of 0.03% and peak error rate of 9%. This issue impacted web requests, API requests, and git operations. This incident was triggered because a network node in one of GitHub's datacenter sites partially failed, resulting in silent packet drops for traffic served by that site. At 09:22 UTC, we identified the failing network node, and at 09:36 UTC we addressed the issue by removing the faulty network node from production.In response to this incident, we are improving our monitoring capabilities to identify and respond to similar silent errors more effectively in the future.",https://www.githubstatus.com/incidents/291w7fn43fy1
March 2025,[Scheduled] Scheduled Codespaces Maintenance,maintenance,"Feb 28, 17:00 - Mar 1, 02:00 UTC",The scheduled maintenance has been completed.,https://www.githubstatus.com/incidents/5ylj8dpvg096
February 2025,Elevated Request Latency for Write operations on github.com and api.github.com,minor,"Feb 28, 06:12 - 06:55 UTC","On February 28th, 2025, between 05:49 UTC and 06:55 UTC, a newly deployed background job caused increased load on GitHub’s primary database hosts, resulting in connection pool exhaustion. This led to degraded performance, manifesting as increased latency for write operations and elevated request timeout rates across multiple services.The incident was mitigated by halting execution of the problematic background job and disabling the feature flag controlling the job execution. To prevent similar incidents in the future, we are collaborating on a plan to improve our production signals to better detect and respond to query performance issues.",https://www.githubstatus.com/incidents/36ftd36c921f
February 2025,Disruption with some GitHub services,minor,"Feb 27, 11:28 - 12:22 UTC","On February 27, 2025, between 11:30 UTC and 12:22 UTC, Actions experienced degraded performance, leading to delays in workflow runs. On average, 5% of Actions workflow runs were delayed by 31 minutes. The delays were caused by updates in a dependent service that led to failures in Redis connectivity in one region. We mitigated the incident by failing over the impacted service and re-routing the service’s traffic out of that region. We are working to improve monitoring and processes of failover to reduce our time to detection and mitigation of issues like this one in the future.",https://www.githubstatus.com/incidents/3zss4vv50thx
